UserID,Age,Gender,BodyType,ProductID,Category,FabricType,Style,ColorPalette,Season,Rating,Sentiment,UserAction
U083,21,Female,Athletic,P1673,Dresses,Linen,Sporty,Red,Spring,5,Positive,Commented
U096,37,Male,Slim,P0397,Coats,Linen,Sporty,Red,Autumn,3,Neutral,Purchased
U081,43,Female,Slim,P0473,Skirts,Polyester,Sporty,Red,Autumn,1,Negative,Viewed
U090,35,Male,Slim,P2762,Shorts,Denim,Sporty,Green,Autumn,4,Positive,Purchased
U077,23,Male,Slim,P2788,Shorts,Linen,Sporty,Black,Winter,2,Negative,Commented
U062,34,Non-Binary,Bulky,P1145,Shorts,Cotton,Formal,Red,Autumn,2,Negative,Wished
U043,26,Male,Bulky,P0628,Blouses,Polyester,Casual,Black,Autumn,3,Neutral,Viewed
U042,35,Non-Binary,Bulky,P1310,Coats,Cotton,Casual,Green,Autumn,4,Positive,Commented
U018,44,Female,Slim,P1951,Dresses,Polyester,Formal,Black,Autumn,5,Positive,Wished
U012,49,Female,Slim,P1423,Jackets,Denim,Sporty,White,Summer,4,Positive,Purchased
U095,48,Male,Slim,P1071,Skirts,Silk,Sporty,Green,Summer,5,Positive,Wished
U098,26,Non-Binary,Athletic,P0936,Blouses,Linen,Casual,Black,Summer,3,Neutral,Commented
U027,56,Male,Athletic,P0631,Jackets,Silk,Sporty,Blue,Summer,4,Positive,Purchased
U074,59,Male,Athletic,P2265,Coats,Linen,Formal,Red,Winter,3,Neutral,Wished
U050,62,Non-Binary,Slim,P0428,Coats,Silk,Casual,White,Spring,4,Positive,Viewed
U009,30,Female,Bulky,P2725,Shorts,Cotton,Casual,White,Spring,5,Positive,Purchased
U057,32,Female,Slim,P2221,Dresses,Linen,Formal,Black,Winter,5,Positive,Wished
U081,43,Female,Slim,P0499,Skirts,Denim,Sporty,Blue,Autumn,2,Negative,Wished
U063,22,Male,Bulky,P0899,Shorts,Polyester,Sporty,Red,Winter,3,Neutral,Wished
U074,59,Male,Athletic,P1441,Jackets,Polyester,Sporty,Black,Summer,4,Positive,Wished
U015,53,Non-Binary,Bulky,P2333,Jackets,Linen,Sporty,Blue,Spring,4,Positive,Purchased
U021,43,Female,Slim,P0052,Shirts,Polyester,Casual,Red,Spring,5,Positive,Commented
U048,26,Female,Bulky,P1131,Shirts,Silk,Sporty,Blue,Autumn,3,Neutral,Wished
U064,64,Female,Bulky,P2835,Blouses,Denim,Casual,White,Autumn,5,Positive,Viewed
U001,19,Male,Slim,P2613,Skirts,Polyester,Casual,Green,Spring,5,Positive,Wished
U085,39,Non-Binary,Bulky,P1256,Dresses,Silk,Casual,Blue,Summer,5,Positive,Commented
U098,26,Non-Binary,Athletic,P0171,Shorts,Linen,Sporty,Red,Spring,5,Positive,Purchased
U058,23,Male,Bulky,P2683,Coats,Denim,Formal,Red,Summer,2,Negative,Wished
U083,21,Female,Athletic,P2557,Blouses,Silk,Formal,White,Spring,4,Positive,Wished
U069,58,Female,Slim,P2994,Pants,Silk,Sporty,Green,Winter,3,Neutral,Purchased
U016,30,Female,Athletic,P0207,Shirts,Polyester,Sporty,Black,Winter,4,Positive,Wished
U011,43,Male,Bulky,P2158,Blouses,Denim,Sporty,White,Summer,2,Negative,Purchased
U099,49,Non-Binary,Athletic,P0947,Skirts,Polyester,Sporty,Red,Summer,5,Positive,Viewed
U053,23,Male,Slim,P1150,Shirts,Polyester,Casual,Blue,Spring,5,Positive,Purchased
U014,58,Non-Binary,Slim,P1046,Coats,Cotton,Sporty,Black,Winter,4,Positive,Wished
U063,22,Male,Bulky,P0650,Shirts,Linen,Sporty,Red,Summer,3,Neutral,Purchased
U050,62,Non-Binary,Slim,P2891,Blouses,Silk,Casual,White,Autumn,4,Positive,Wished
U081,43,Female,Slim,P1970,Coats,Linen,Casual,Green,Spring,1,Negative,Wished
U001,19,Male,Slim,P2640,Skirts,Cotton,Sporty,Red,Spring,3,Neutral,Purchased
U067,52,Non-Binary,Slim,P2867,Shirts,Linen,Casual,Blue,Spring,2,Negative,Purchased
U017,25,Non-Binary,Bulky,P2358,Dresses,Linen,Sporty,White,Winter,1,Negative,Commented
U071,46,Non-Binary,Athletic,P2682,Pants,Denim,Sporty,Green,Winter,3,Neutral,Wished
U070,29,Female,Athletic,P1404,Pants,Linen,Formal,Green,Spring,5,Positive,Commented
U047,57,Non-Binary,Bulky,P0731,Shirts,Polyester,Sporty,Green,Spring,4,Positive,Wished
U087,41,Female,Bulky,P1478,Shirts,Silk,Sporty,Black,Autumn,2,Negative,Purchased
U042,35,Non-Binary,Bulky,P0538,Blouses,Denim,Sporty,Green,Autumn,1,Negative,Viewed
U061,35,Non-Binary,Slim,P1032,Pants,Polyester,Formal,Green,Summer,1,Negative,Wished
U089,20,Female,Bulky,P0160,Jackets,Polyester,Sporty,Black,Winter,3,Neutral,Viewed
U067,52,Non-Binary,Slim,P0880,Pants,Silk,Sporty,White,Autumn,5,Positive,Wished
U029,29,Male,Bulky,P1308,Pants,Polyester,Formal,Blue,Spring,3,Neutral,Purchased
U075,52,Female,Athletic,P0411,Skirts,Denim,Formal,White,Spring,5,Positive,Viewed
U084,29,Male,Bulky,P0124,Dresses,Silk,Formal,Blue,Spring,2,Negative,Wished
U084,29,Male,Bulky,P1148,Skirts,Linen,Sporty,Red,Summer,5,Positive,Wished
U062,34,Non-Binary,Bulky,P0253,Jackets,Cotton,Sporty,Red,Spring,4,Positive,Wished
U009,30,Female,Bulky,P1223,Blouses,Polyester,Sporty,Black,Autumn,5,Positive,Wished
U018,44,Female,Slim,P1519,Dresses,Linen,Sporty,White,Spring,4,Positive,Wished
U090,35,Male,Slim,P0412,Pants,Polyester,Formal,White,Autumn,2,Negative,Wished
U058,23,Male,Bulky,P1688,Shorts,Linen,Formal,Blue,Autumn,4,Positive,Wished
U039,21,Male,Bulky,P2507,Dresses,Silk,Formal,Green,Winter,1,Negative,Wished
U010,30,Male,Slim,P1197,Shirts,Cotton,Formal,Red,Summer,5,Positive,Commented
U060,39,Female,Athletic,P2315,Shorts,Linen,Sporty,White,Spring,3,Neutral,Commented
U099,49,Non-Binary,Athletic,P0031,Dresses,Silk,Formal,Blue,Winter,3,Neutral,Viewed
U088,38,Male,Bulky,P2389,Shorts,Linen,Casual,Blue,Spring,4,Positive,Viewed
U079,54,Female,Bulky,P2927,Skirts,Polyester,Formal,White,Spring,4,Positive,Purchased
U080,57,Non-Binary,Bulky,P2399,Jackets,Polyester,Casual,Red,Autumn,3,Neutral,Purchased
U011,43,Male,Bulky,P1789,Shorts,Silk,Sporty,Red,Winter,5,Positive,Wished
U008,32,Female,Athletic,P1868,Shorts,Cotton,Formal,White,Winter,4,Positive,Wished
U077,23,Male,Slim,P0307,Dresses,Cotton,Sporty,White,Summer,4,Positive,Purchased
U013,55,Non-Binary,Bulky,P0304,Blouses,Cotton,Formal,White,Summer,5,Positive,Purchased
U052,34,Non-Binary,Slim,P2827,Shorts,Denim,Casual,Green,Winter,4,Positive,Commented
U091,52,Non-Binary,Bulky,P2907,Skirts,Cotton,Formal,Black,Spring,5,Positive,Wished
U090,35,Male,Slim,P1092,Shirts,Polyester,Formal,Green,Autumn,3,Neutral,Wished
U050,62,Non-Binary,Slim,P0660,Dresses,Denim,Sporty,Red,Spring,3,Neutral,Wished
U052,34,Non-Binary,Slim,P1624,Pants,Polyester,Casual,Blue,Winter,3,Neutral,Wished
U006,62,Male,Athletic,P0530,Shorts,Polyester,Sporty,Red,Autumn,2,Negative,Purchased
U100,60,Female,Slim,P2765,Skirts,Polyester,Casual,Black,Summer,3,Neutral,Wished
U065,24,Female,Bulky,P0356,Skirts,Polyester,Sporty,Black,Summer,3,Neutral,Commented
U064,64,Female,Bulky,P0539,Shorts,Silk,Casual,Red,Autumn,3,Neutral,Wished
U063,22,Male,Bulky,P0266,Blouses,Polyester,Formal,Green,Autumn,2,Negative,Wished
U059,32,Female,Slim,P0009,Shirts,Denim,Casual,Green,Spring,3,Neutral,Wished
U013,55,Non-Binary,Bulky,P0886,Coats,Denim,Sporty,Black,Spring,5,Positive,Purchased
U039,21,Male,Bulky,P2505,Shirts,Denim,Casual,Green,Winter,3,Neutral,Commented
U066,45,Male,Bulky,P2195,Coats,Linen,Casual,Green,Spring,4,Positive,Wished
U078,40,Male,Bulky,P0689,Jackets,Linen,Sporty,Green,Spring,3,Neutral,Purchased
U030,44,Male,Bulky,P2987,Coats,Linen,Casual,Black,Winter,3,Neutral,Wished
U003,52,Male,Athletic,P0623,Blouses,Linen,Casual,White,Winter,1,Negative,Viewed
U063,22,Male,Bulky,P0112,Blouses,Linen,Formal,White,Summer,5,Positive,Commented
U059,32,Female,Slim,P2661,Coats,Silk,Sporty,Green,Summer,3,Neutral,Viewed
U079,54,Female,Bulky,P2645,Shirts,Polyester,Formal,Black,Winter,5,Positive,Viewed
U067,52,Non-Binary,Slim,P1619,Shirts,Linen,Sporty,Black,Winter,5,Positive,Wished
U090,35,Male,Slim,P2755,Jackets,Polyester,Casual,White,Summer,4,Positive,Viewed
U019,34,Male,Athletic,P2776,Coats,Silk,Casual,Black,Summer,3,Neutral,Wished
U058,23,Male,Bulky,P0078,Skirts,Silk,Formal,Blue,Spring,5,Positive,Wished
U074,59,Male,Athletic,P0027,Shirts,Linen,Formal,Green,Summer,3,Neutral,Purchased
U032,36,Male,Slim,P2343,Shorts,Linen,Formal,Black,Autumn,2,Negative,Purchased
U013,55,Non-Binary,Bulky,P1799,Skirts,Silk,Sporty,Blue,Spring,5,Positive,Wished
U063,22,Male,Bulky,P1733,Coats,Silk,Casual,White,Summer,5,Positive,Wished
U023,20,Male,Bulky,P1815,Shirts,Linen,Casual,Blue,Summer,2,Negative,Viewed
U016,30,Female,Athletic,P1775,Coats,Denim,Formal,White,Spring,3,Neutral,Purchased
U025,62,Male,Athletic,P2692,Pants,Denim,Formal,Black,Spring,5,Positive,Viewed
U001,19,Male,Slim,P1392,Shorts,Linen,Sporty,White,Winter,3,Neutral,Wished
U080,57,Non-Binary,Bulky,P1870,Shirts,Cotton,Casual,Black,Autumn,4,Positive,Wished
U042,35,Non-Binary,Bulky,P0097,Shorts,Linen,Sporty,White,Summer,3,Neutral,Wished
U017,25,Non-Binary,Bulky,P2095,Coats,Linen,Casual,White,Winter,4,Positive,Purchased
U056,32,Non-Binary,Slim,P1003,Dresses,Silk,Sporty,Black,Spring,2,Negative,Wished
U021,43,Female,Slim,P2314,Skirts,Linen,Casual,White,Summer,5,Positive,Purchased
U093,31,Female,Bulky,P1698,Skirts,Linen,Casual,Red,Autumn,2,Negative,Wished
U099,49,Non-Binary,Athletic,P2181,Pants,Polyester,Formal,White,Winter,1,Negative,Viewed
U011,43,Male,Bulky,P0952,Blouses,Linen,Sporty,White,Autumn,3,Neutral,Purchased
U020,29,Non-Binary,Slim,P1278,Blouses,Polyester,Casual,White,Spring,3,Neutral,Purchased
U031,37,Non-Binary,Slim,P1972,Shirts,Polyester,Formal,Green,Autumn,4,Positive,Purchased
U047,57,Non-Binary,Bulky,P1524,Skirts,Linen,Formal,Red,Spring,4,Positive,Viewed
U025,62,Male,Athletic,P1357,Skirts,Denim,Casual,Black,Autumn,4,Positive,Viewed
U024,23,Female,Athletic,P1897,Blouses,Cotton,Formal,White,Winter,5,Positive,Wished
U091,52,Non-Binary,Bulky,P0762,Shorts,Linen,Casual,White,Winter,3,Neutral,Purchased
U060,39,Female,Athletic,P0371,Coats,Linen,Formal,Blue,Spring,2,Negative,Viewed
U063,22,Male,Bulky,P0815,Dresses,Polyester,Sporty,Green,Spring,4,Positive,Wished
U032,36,Male,Slim,P2935,Blouses,Polyester,Casual,Red,Autumn,2,Negative,Purchased
U013,55,Non-Binary,Bulky,P0019,Skirts,Polyester,Formal,Red,Summer,3,Neutral,Wished
U097,25,Male,Slim,P2931,Shirts,Cotton,Casual,Blue,Spring,2,Negative,Purchased
U078,40,Male,Bulky,P0831,Skirts,Polyester,Formal,Red,Winter,1,Negative,Wished
U066,45,Male,Bulky,P1997,Skirts,Linen,Formal,Black,Spring,4,Positive,Wished
U053,23,Male,Slim,P1012,Shorts,Silk,Formal,Black,Spring,4,Positive,Purchased
U088,38,Male,Bulky,P1244,Skirts,Denim,Sporty,Red,Summer,4,Positive,Wished
U007,27,Male,Bulky,P2681,Skirts,Polyester,Formal,Black,Winter,1,Negative,Wished
U098,26,Non-Binary,Athletic,P0488,Pants,Cotton,Casual,Black,Winter,2,Negative,Wished
U012,49,Female,Slim,P2503,Shorts,Polyester,Formal,Blue,Winter,2,Negative,Wished
U087,41,Female,Bulky,P1798,Skirts,Denim,Formal,White,Spring,3,Neutral,Wished
U001,19,Male,Slim,P1635,Dresses,Polyester,Sporty,Green,Autumn,3,Neutral,Wished
U028,25,Male,Bulky,P0216,Pants,Denim,Sporty,Black,Autumn,3,Neutral,Purchased
U035,55,Non-Binary,Slim,P2473,Coats,Denim,Formal,Red,Summer,5,Positive,Purchased
U001,19,Male,Slim,P1185,Skirts,Denim,Sporty,Green,Spring,5,Positive,Wished
U028,25,Male,Bulky,P0271,Skirts,Denim,Casual,Blue,Summer,4,Positive,Wished
U023,20,Male,Bulky,P2966,Coats,Denim,Formal,White,Summer,3,Neutral,Commented
U040,58,Male,Athletic,P0439,Coats,Polyester,Sporty,White,Autumn,4,Positive,Purchased
U089,20,Female,Bulky,P2572,Pants,Linen,Sporty,Red,Spring,2,Negative,Wished
U078,40,Male,Bulky,P1571,Shorts,Denim,Sporty,White,Autumn,3,Neutral,Wished
U051,29,Male,Bulky,P1355,Blouses,Linen,Casual,Black,Winter,3,Neutral,Purchased
U054,34,Non-Binary,Athletic,P0028,Skirts,Linen,Sporty,Black,Autumn,3,Neutral,Commented
U072,33,Non-Binary,Bulky,P1891,Blouses,Cotton,Formal,Green,Winter,4,Positive,Purchased
U078,40,Male,Bulky,P0403,Coats,Polyester,Sporty,Green,Winter,3,Neutral,Purchased
U033,31,Non-Binary,Bulky,P2159,Jackets,Cotton,Formal,Black,Summer,2,Negative,Commented
U062,34,Non-Binary,Bulky,P1657,Shirts,Silk,Sporty,Green,Autumn,4,Positive,Wished
U036,58,Female,Slim,P0421,Pants,Silk,Formal,Black,Winter,2,Negative,Wished
U056,32,Non-Binary,Slim,P2141,Coats,Polyester,Casual,Blue,Winter,2,Negative,Purchased
U029,29,Male,Bulky,P1337,Dresses,Linen,Casual,Black,Autumn,2,Negative,Viewed
U018,44,Female,Slim,P0819,Skirts,Polyester,Sporty,Blue,Spring,3,Neutral,Purchased
U062,34,Non-Binary,Bulky,P0219,Blouses,Silk,Sporty,Blue,Summer,3,Neutral,Purchased
U045,19,Male,Athletic,P1085,Dresses,Linen,Sporty,Red,Autumn,5,Positive,Commented
U010,30,Male,Slim,P0308,Shirts,Linen,Casual,Blue,Winter,5,Positive,Purchased
U064,64,Female,Bulky,P1320,Blouses,Polyester,Sporty,Red,Spring,5,Positive,Purchased
U044,19,Non-Binary,Bulky,P2685,Shirts,Silk,Casual,Red,Summer,3,Neutral,Wished
U026,63,Non-Binary,Bulky,P1822,Blouses,Silk,Formal,Red,Winter,3,Neutral,Purchased
U093,31,Female,Bulky,P1253,Blouses,Linen,Formal,Black,Winter,4,Positive,Viewed
U006,62,Male,Athletic,P1226,Pants,Polyester,Casual,Green,Summer,3,Neutral,Commented
U018,44,Female,Slim,P2787,Coats,Denim,Formal,Blue,Winter,4,Positive,Purchased
U048,26,Female,Bulky,P2811,Dresses,Denim,Casual,Black,Summer,4,Positive,Wished
U012,49,Female,Slim,P2089,Skirts,Cotton,Casual,Red,Autumn,4,Positive,Purchased
U013,55,Non-Binary,Bulky,P0846,Jackets,Linen,Casual,Red,Summer,4,Positive,Purchased
U045,19,Male,Athletic,P1628,Dresses,Cotton,Casual,Green,Summer,2,Negative,Wished
U085,39,Non-Binary,Bulky,P2124,Blouses,Polyester,Formal,Black,Winter,3,Neutral,Purchased
U028,25,Male,Bulky,P2868,Pants,Cotton,Formal,Red,Autumn,3,Neutral,Commented
U064,64,Female,Bulky,P2450,Pants,Silk,Casual,Black,Autumn,4,Positive,Purchased
U061,35,Non-Binary,Slim,P2753,Jackets,Silk,Sporty,Black,Winter,4,Positive,Commented
U005,53,Female,Athletic,P0376,Shirts,Silk,Sporty,Red,Summer,4,Positive,Wished
U019,34,Male,Athletic,P2105,Pants,Denim,Sporty,Green,Winter,3,Neutral,Purchased
U034,43,Non-Binary,Bulky,P1795,Skirts,Polyester,Casual,White,Winter,2,Negative,Wished
U010,30,Male,Slim,P0414,Blouses,Cotton,Sporty,Red,Winter,3,Neutral,Purchased
U088,38,Male,Bulky,P1310,Coats,Cotton,Casual,Green,Summer,1,Negative,Wished
U084,29,Male,Bulky,P2775,Dresses,Linen,Formal,Red,Summer,1,Negative,Viewed
U098,26,Non-Binary,Athletic,P2830,Dresses,Cotton,Casual,White,Spring,3,Neutral,Viewed
U008,32,Female,Athletic,P2077,Dresses,Cotton,Casual,Black,Spring,4,Positive,Wished
U077,23,Male,Slim,P2153,Coats,Denim,Casual,Red,Winter,3,Neutral,Viewed
U037,40,Female,Athletic,P1055,Pants,Linen,Formal,White,Spring,2,Negative,Wished
U056,32,Non-Binary,Slim,P1695,Pants,Denim,Sporty,Green,Winter,3,Neutral,Purchased
U008,32,Female,Athletic,P2546,Blouses,Cotton,Formal,White,Spring,3,Neutral,Commented
U053,23,Male,Slim,P2847,Blouses,Cotton,Formal,White,Autumn,3,Neutral,Wished
U096,37,Male,Slim,P2825,Shorts,Linen,Formal,White,Summer,4,Positive,Commented
U079,54,Female,Bulky,P0445,Shirts,Polyester,Sporty,Green,Summer,3,Neutral,Commented
U069,58,Female,Slim,P0902,Jackets,Cotton,Formal,Red,Winter,2,Negative,Purchased
U094,41,Non-Binary,Slim,P0988,Pants,Cotton,Formal,Green,Autumn,4,Positive,Viewed
U098,26,Non-Binary,Athletic,P2567,Jackets,Denim,Sporty,Green,Summer,3,Neutral,Viewed
U031,37,Non-Binary,Slim,P1614,Dresses,Cotton,Casual,Blue,Winter,3,Neutral,Wished
U052,34,Non-Binary,Slim,P2000,Jackets,Linen,Sporty,White,Autumn,3,Neutral,Wished
U043,26,Male,Bulky,P0211,Shirts,Silk,Sporty,Black,Summer,2,Negative,Wished
U098,26,Non-Binary,Athletic,P2724,Blouses,Silk,Casual,Blue,Winter,3,Neutral,Purchased
U065,24,Female,Bulky,P1605,Dresses,Linen,Formal,White,Winter,5,Positive,Wished
U100,60,Female,Slim,P1465,Dresses,Linen,Sporty,White,Summer,3,Neutral,Purchased
U034,43,Non-Binary,Bulky,P2528,Dresses,Polyester,Sporty,Black,Winter,3,Neutral,Purchased
U100,60,Female,Slim,P0646,Blouses,Linen,Sporty,Green,Autumn,4,Positive,Viewed
U021,43,Female,Slim,P2636,Skirts,Cotton,Sporty,White,Winter,4,Positive,Wished
U025,62,Male,Athletic,P0333,Coats,Linen,Sporty,Black,Summer,4,Positive,Purchased
U025,62,Male,Athletic,P2550,Dresses,Polyester,Formal,Blue,Spring,4,Positive,Purchased
U021,43,Female,Slim,P0914,Jackets,Linen,Formal,Red,Autumn,2,Negative,Purchased
U013,55,Non-Binary,Bulky,P2949,Blouses,Cotton,Sporty,Green,Autumn,3,Neutral,Commented
U002,37,Male,Bulky,P0546,Skirts,Silk,Sporty,Red,Spring,3,Neutral,Viewed
U094,41,Non-Binary,Slim,P0343,Coats,Linen,Casual,White,Autumn,4,Positive,Purchased
U026,63,Non-Binary,Bulky,P0542,Shorts,Polyester,Sporty,Blue,Spring,5,Positive,Purchased
U086,64,Male,Athletic,P2658,Pants,Silk,Formal,Blue,Winter,3,Neutral,Commented
U068,24,Male,Athletic,P0158,Pants,Linen,Sporty,Black,Autumn,4,Positive,Purchased
U024,23,Female,Athletic,P0725,Shirts,Cotton,Casual,Black,Spring,4,Positive,Commented
U082,54,Non-Binary,Bulky,P1257,Blouses,Denim,Sporty,White,Spring,1,Negative,Viewed
U015,53,Non-Binary,Bulky,P0440,Jackets,Polyester,Sporty,Green,Summer,4,Positive,Wished
U035,55,Non-Binary,Slim,P1014,Coats,Denim,Casual,Green,Spring,2,Negative,Viewed
U093,31,Female,Bulky,P2030,Coats,Denim,Sporty,Red,Spring,4,Positive,Purchased
U068,24,Male,Athletic,P1121,Shirts,Cotton,Sporty,Blue,Winter,4,Positive,Commented
U073,36,Non-Binary,Slim,P0572,Jackets,Polyester,Sporty,White,Spring,5,Positive,Wished
U011,43,Male,Bulky,P1006,Dresses,Cotton,Sporty,Green,Summer,3,Neutral,Viewed
U043,26,Male,Bulky,P1289,Blouses,Linen,Sporty,Blue,Autumn,4,Positive,Wished
U030,44,Male,Bulky,P0298,Jackets,Linen,Sporty,Green,Summer,2,Negative,Wished
U009,30,Female,Bulky,P2122,Jackets,Linen,Casual,Green,Summer,4,Positive,Wished
U094,41,Non-Binary,Slim,P0113,Coats,Polyester,Sporty,Black,Autumn,3,Neutral,Wished
U091,52,Non-Binary,Bulky,P0051,Coats,Linen,Formal,Green,Spring,2,Negative,Wished
U070,29,Female,Athletic,P2302,Shirts,Denim,Formal,Black,Autumn,4,Positive,Purchased
U002,37,Male,Bulky,P1442,Shirts,Polyester,Formal,Green,Autumn,3,Neutral,Wished
U089,20,Female,Bulky,P2515,Shirts,Denim,Formal,Black,Winter,3,Neutral,Purchased
U100,60,Female,Slim,P2812,Shorts,Silk,Sporty,Green,Autumn,3,Neutral,Wished
U024,23,Female,Athletic,P1002,Blouses,Denim,Formal,White,Autumn,5,Positive,Wished
U032,36,Male,Slim,P1120,Skirts,Linen,Formal,Red,Spring,5,Positive,Commented
U088,38,Male,Bulky,P2492,Shirts,Silk,Formal,Black,Winter,4,Positive,Purchased
U089,20,Female,Bulky,P1585,Jackets,Denim,Formal,Red,Winter,4,Positive,Viewed
U003,52,Male,Athletic,P1189,Shorts,Linen,Sporty,White,Winter,3,Neutral,Viewed
U036,58,Female,Slim,P0545,Shorts,Silk,Casual,Blue,Autumn,4,Positive,Wished
U010,30,Male,Slim,P0475,Shirts,Denim,Formal,White,Autumn,3,Neutral,Wished
U054,34,Non-Binary,Athletic,P0900,Pants,Polyester,Formal,Blue,Summer,4,Positive,Purchased
U037,40,Female,Athletic,P1350,Shirts,Polyester,Formal,Green,Winter,4,Positive,Wished
U094,41,Non-Binary,Slim,P2108,Shirts,Polyester,Sporty,White,Autumn,3,Neutral,Wished
U082,54,Non-Binary,Bulky,P1386,Blouses,Silk,Casual,Green,Spring,1,Negative,Purchased
U056,32,Non-Binary,Slim,P0443,Pants,Silk,Sporty,Blue,Winter,3,Neutral,Purchased
U095,48,Male,Slim,P2409,Skirts,Linen,Casual,Red,Spring,3,Neutral,Purchased
U004,30,Male,Slim,P2936,Dresses,Polyester,Formal,Black,Winter,3,Neutral,Purchased
U044,19,Non-Binary,Bulky,P2566,Dresses,Linen,Sporty,Red,Spring,3,Neutral,Purchased
U052,34,Non-Binary,Slim,P1887,Shirts,Denim,Casual,Red,Spring,2,Negative,Commented
U061,35,Non-Binary,Slim,P1264,Jackets,Linen,Sporty,Green,Winter,3,Neutral,Purchased
U046,19,Male,Slim,P0494,Skirts,Cotton,Casual,Black,Summer,2,Negative,Wished
